,UKPRN,HE provider,Country of HE provider,Academic Year,Level of study,Female,Male,Other,% Female,% Male,% Other
0,10000163.0,AECC University College,England,2018/19,All,300,300,0,50.0,50.0,0.0
1,10000163.0,AECC University College,England,2018/19,All postgraduate,70,70,0,50.0,50.0,0.0
2,10000163.0,AECC University College,England,2018/19,All undergraduate,230,230,0,50.0,50.0,0.0
3,10000163.0,AECC University College,England,2018/19,First degree,230,230,0,50.0,50.0,0.0
4,10000163.0,AECC University College,England,2018/19,Postgraduate (taught),70,70,0,50.0,50.0,0.0
5,10000291.0,Anglia Ruskin University,England,2018/19,All,15615,8855,25,63.74770361298224,36.15023474178404,0.10206164523372117
6,10000291.0,Anglia Ruskin University,England,2018/19,All postgraduate,3185,1665,15,65.46762589928058,34.224049331963,0.3083247687564234
7,10000291.0,Anglia Ruskin University,England,2018/19,All undergraduate,12430,7190,10,63.32144676515538,36.62761079979623,0.05094243504839531
8,10000291.0,Anglia Ruskin University,England,2018/19,First degree,11185,6710,10,62.468584194359124,37.47556548450154,0.05585032113934655
9,10000291.0,Anglia Ruskin University,England,2018/19,Other undergraduate,1245,475,0,72.38372093023256,27.61627906976744,0.0
10,10000291.0,Anglia Ruskin University,England,2018/19,Postgraduate (research),315,305,0,50.806451612903224,49.193548387096776,0.0
11,10000291.0,Anglia Ruskin University,England,2018/19,Postgraduate (taught),2870,1360,10,67.68867924528303,32.075471698113205,0.2358490566037736
12,10000385.0,The Arts University Bournemouth,England,2018/19,All,2325,1040,20,68.68537666174298,30.72378138847858,0.5908419497784343
13,10000385.0,The Arts University Bournemouth,England,2018/19,All postgraduate,85,65,0,56.666666666666664,43.333333333333336,0.0
14,10000385.0,The Arts University Bournemouth,England,2018/19,All undergraduate,2240,980,20,69.1358024691358,30.246913580246915,0.6172839506172839
15,10000385.0,The Arts University Bournemouth,England,2018/19,First degree,2240,980,20,69.1358024691358,30.246913580246915,0.6172839506172839
16,10000385.0,The Arts University Bournemouth,England,2018/19,Postgraduate (research),5,0,0,100.0,0.0,0.0
17,10000385.0,The Arts University Bournemouth,England,2018/19,Postgraduate (taught),75,60,0,55.55555555555556,44.44444444444444,0.0
18,10000571.0,Bath Spa University,England,2018/19,All,5360,2405,0,69.02768834513844,30.972311654861556,0.0
19,10000571.0,Bath Spa University,England,2018/19,All postgraduate,1230,475,0,72.14076246334311,27.859237536656888,0.0
20,10000571.0,Bath Spa University,England,2018/19,All undergraduate,4130,1930,0,68.15181518151815,31.84818481848185,0.0
21,10000571.0,Bath Spa University,England,2018/19,First degree,3980,1870,0,68.03418803418803,31.965811965811962,0.0
22,10000571.0,Bath Spa University,England,2018/19,Other undergraduate,150,60,0,71.42857142857143,28.57142857142857,0.0
23,10000571.0,Bath Spa University,England,2018/19,Postgraduate (research),85,50,0,62.96296296296296,37.03703703703704,0.0
24,10000571.0,Bath Spa University,England,2018/19,Postgraduate (taught),1150,425,0,73.01587301587301,26.984126984126984,0.0
25,10000712.0,University College Birmingham,England,2018/19,All,3345,1555,0,68.26530612244898,31.734693877551017,0.0
26,10000712.0,University College Birmingham,England,2018/19,All postgraduate,315,170,0,64.94845360824742,35.051546391752574,0.0
27,10000712.0,University College Birmingham,England,2018/19,All undergraduate,3030,1385,0,68.62967157417894,31.370328425821064,0.0
28,10000712.0,University College Birmingham,England,2018/19,First degree,1935,970,0,66.60929432013769,33.3907056798623,0.0
29,10000712.0,University College Birmingham,England,2018/19,Other undergraduate,1095,415,0,72.51655629139073,27.483443708609272,0.0
30,10000712.0,University College Birmingham,England,2018/19,Postgraduate (taught),315,170,0,64.94845360824742,35.051546391752574,0.0
31,10000824.0,Bournemouth University,England,2018/19,All,9835,8015,30,55.005592841163306,44.82662192393736,0.16778523489932887
32,10000824.0,Bournemouth University,England,2018/19,All postgraduate,2095,1075,5,65.98425196850394,33.85826771653544,0.15748031496062992
33,10000824.0,Bournemouth University,England,2018/19,All undergraduate,7740,6940,20,52.6530612244898,47.21088435374149,0.13605442176870747
34,10000824.0,Bournemouth University,England,2018/19,First degree,7065,6700,20,51.25136017410229,48.60355458832064,0.14508523757707653
35,10000824.0,Bournemouth University,England,2018/19,Other undergraduate,675,240,0,73.77049180327869,26.229508196721312,0.0
36,10000824.0,Bournemouth University,England,2018/19,Postgraduate (research),270,245,0,52.42718446601942,47.57281553398058,0.0
37,10000824.0,Bournemouth University,England,2018/19,Postgraduate (taught),1825,830,5,68.60902255639097,31.203007518796994,0.18796992481203006
38,10000886.0,The University of Brighton,England,2018/19,All,12615,7825,30,61.62677088422082,38.226673180263795,0.14655593551538837
39,10000886.0,The University of Brighton,England,2018/19,All postgraduate,2340,1355,10,63.1578947368421,36.57219973009447,0.2699055330634278
40,10000886.0,The University of Brighton,England,2018/19,All undergraduate,10275,6465,20,61.30668257756563,38.57398568019093,0.11933174224343676
41,10000886.0,The University of Brighton,England,2018/19,First degree,8855,6195,20,58.75912408759124,41.10816191108162,0.13271400132714
42,10000886.0,The University of Brighton,England,2018/19,Other undergraduate,1420,275,0,83.77581120943954,16.224188790560472,0.0
43,10000886.0,The University of Brighton,England,2018/19,Postgraduate (research),170,140,5,53.96825396825397,44.44444444444444,1.5873015873015872
44,10000886.0,The University of Brighton,England,2018/19,Postgraduate (taught),2170,1220,5,63.91752577319587,35.93519882179676,0.14727540500736377
45,10000936.0,The University College of Osteopathy,England,2018/19,All,285,210,0,57.57575757575758,42.42424242424242,0.0
46,10000936.0,The University College of Osteopathy,England,2018/19,All postgraduate,45,20,0,69.23076923076923,30.76923076923077,0.0
47,10000936.0,The University College of Osteopathy,England,2018/19,All undergraduate,235,190,0,55.294117647058826,44.70588235294118,0.0
48,10000936.0,The University College of Osteopathy,England,2018/19,First degree,235,190,0,55.294117647058826,44.70588235294118,0.0
49,10000936.0,The University College of Osteopathy,England,2018/19,Postgraduate (taught),45,20,0,69.23076923076923,30.76923076923077,0.0
50,10000961.0,Brunel University London,England,2018/19,All,6810,7980,0,46.0446247464503,53.9553752535497,0.0
51,10000961.0,Brunel University London,England,2018/19,All postgraduate,1760,1905,0,48.0218281036835,51.9781718963165,0.0
52,10000961.0,Brunel University London,England,2018/19,All undergraduate,5050,6075,0,45.39325842696629,54.606741573033716,0.0
53,10000961.0,Brunel University London,England,2018/19,First degree,5030,6055,0,45.376635092467296,54.623364907532704,0.0
54,10000961.0,Brunel University London,England,2018/19,Other undergraduate,15,20,0,42.857142857142854,57.14285714285714,0.0
55,10000961.0,Brunel University London,England,2018/19,Postgraduate (research),270,320,0,45.76271186440678,54.23728813559322,0.0
56,10000961.0,Brunel University London,England,2018/19,Postgraduate (taught),1495,1580,0,48.61788617886179,51.38211382113821,0.0
57,10000975.0,Buckinghamshire New University,England,2018/19,All,5770,5230,0,52.45454545454545,47.54545454545455,0.0
58,10000975.0,Buckinghamshire New University,England,2018/19,All postgraduate,895,400,0,69.1119691119691,30.888030888030887,0.0
59,10000975.0,Buckinghamshire New University,England,2018/19,All undergraduate,4875,4830,0,50.23183925811438,49.76816074188562,0.0
60,10000975.0,Buckinghamshire New University,England,2018/19,First degree,3845,4560,0,45.746579417013685,54.25342058298632,0.0
61,10000975.0,Buckinghamshire New University,England,2018/19,Other undergraduate,1030,270,0,79.23076923076923,20.76923076923077,0.0
62,10000975.0,Buckinghamshire New University,England,2018/19,Postgraduate (research),15,10,0,60.0,40.0,0.0
63,10000975.0,Buckinghamshire New University,England,2018/19,Postgraduate (taught),880,390,0,69.29133858267717,30.708661417322837,0.0
64,10001143.0,Canterbury Christ Church University,England,2018/19,All,9860,4305,5,69.58362738179252,30.381086803105152,0.035285815102328866
65,10001143.0,Canterbury Christ Church University,England,2018/19,All postgraduate,2025,845,5,70.43478260869566,29.391304347826086,0.17391304347826086
66,10001143.0,Canterbury Christ Church University,England,2018/19,All undergraduate,7835,3460,5,69.33628318584071,30.619469026548675,0.04424778761061947
67,10001143.0,Canterbury Christ Church University,England,2018/19,First degree,6490,2995,5,68.38777660695469,31.5595363540569,0.052687038988408846
68,10001143.0,Canterbury Christ Church University,England,2018/19,Other undergraduate,1345,470,0,74.10468319559229,25.895316804407713,0.0
69,10001143.0,Canterbury Christ Church University,England,2018/19,Postgraduate (research),400,235,0,62.99212598425197,37.00787401574803,0.0
70,10001143.0,Canterbury Christ Church University,England,2018/19,Postgraduate (taught),1625,610,0,72.7069351230425,27.293064876957494,0.0
71,10001282.0,University of Northumbria at Newcastle,England,2018/19,All,14535,11905,10,54.95274102079395,45.00945179584121,0.03780718336483932
72,10001282.0,University of Northumbria at Newcastle,England,2018/19,All postgraduate,3010,2735,0,52.39338555265448,47.60661444734552,0.0
73,10001282.0,University of Northumbria at Newcastle,England,2018/19,All undergraduate,11525,9170,5,55.67632850241546,44.29951690821256,0.024154589371980676
74,10001282.0,University of Northumbria at Newcastle,England,2018/19,First degree,10060,8675,5,53.681963713980785,46.29135538954109,0.026680896478121666
75,10001282.0,University of Northumbria at Newcastle,England,2018/19,Other undergraduate,1465,495,0,74.74489795918367,25.255102040816325,0.0
76,10001282.0,University of Northumbria at Newcastle,England,2018/19,Postgraduate (research),325,285,0,53.278688524590166,46.72131147540984,0.0
77,10001282.0,University of Northumbria at Newcastle,England,2018/19,Postgraduate (taught),2685,2450,0,52.28821811100293,47.71178188899708,0.0
78,10001478.0,"City, University of London",England,2018/19,All,11545,8655,10,57.125185551707084,42.82533399307273,0.04948045522018803
79,10001478.0,"City, University of London",England,2018/19,All postgraduate,5125,4055,5,55.7974959172564,44.14806750136091,0.05443658138268917
80,10001478.0,"City, University of London",England,2018/19,All undergraduate,6420,4600,5,58.23129251700681,41.723356009070294,0.045351473922902494
81,10001478.0,"City, University of London",England,2018/19,First degree,5400,4315,0,55.58414822439527,44.415851775604736,0.0
82,10001478.0,"City, University of London",England,2018/19,Other undergraduate,1020,280,0,78.46153846153847,21.53846153846154,0.0
83,10001478.0,"City, University of London",England,2018/19,Postgraduate (research),235,185,0,55.952380952380956,44.047619047619044,0.0
84,10001478.0,"City, University of London",England,2018/19,Postgraduate (taught),4890,3875,5,55.75826681870011,44.18472063854048,0.05701254275940707
85,10001653.0,Conservatoire for Dance and Drama,England,2018/19,All,970,535,5,64.23841059602648,35.430463576158935,0.33112582781456956
86,10001653.0,Conservatoire for Dance and Drama,England,2018/19,All postgraduate,160,95,0,62.745098039215684,37.254901960784316,0.0
87,10001653.0,Conservatoire for Dance and Drama,England,2018/19,All undergraduate,810,440,5,64.5418326693227,35.0597609561753,0.398406374501992
88,10001653.0,Conservatoire for Dance and Drama,England,2018/19,First degree,450,245,0,64.74820143884892,35.25179856115108,0.0
89,10001653.0,Conservatoire for Dance and Drama,England,2018/19,Other undergraduate,355,190,0,65.13761467889908,34.862385321100916,0.0
90,10001653.0,Conservatoire for Dance and Drama,England,2018/19,Postgraduate (taught),160,95,0,62.745098039215684,37.254901960784316,0.0
91,10001726.0,Coventry University,England,2018/19,All,16750,18215,20,47.87766185508075,52.065170787480355,0.05716735743890238
92,10001726.0,Coventry University,England,2018/19,All postgraduate,3045,2930,0,50.96234309623431,49.03765690376569,0.0
93,10001726.0,Coventry University,England,2018/19,All undergraduate,13705,15285,20,47.24233023095484,52.68872802481903,0.06894174422612892
94,10001726.0,Coventry University,England,2018/19,First degree,12520,14150,15,46.91774405096496,53.02604459434139,0.056211354693648116
95,10001726.0,Coventry University,England,2018/19,Other undergraduate,1185,1130,0,51.18790496760259,48.81209503239741,0.0
96,10001726.0,Coventry University,England,2018/19,Postgraduate (research),220,265,0,45.36082474226804,54.63917525773196,0.0
97,10001726.0,Coventry University,England,2018/19,Postgraduate (taught),2825,2665,0,51.45719489981785,48.54280510018215,0.0
98,10001883.0,De Montfort University,England,2018/19,All,14225,11560,25,55.11429678419218,44.788841534289034,0.09686168151879117
99,10001883.0,De Montfort University,England,2018/19,All postgraduate,2015,2035,10,49.63054187192118,50.12315270935961,0.24630541871921183
100,10001883.0,De Montfort University,England,2018/19,All undergraduate,12210,9530,15,56.12502872902782,43.80602160422891,0.0689496667432774
101,10001883.0,De Montfort University,England,2018/19,First degree,11315,8990,15,55.68405511811023,44.24212598425197,0.07381889763779527
