Domicile,First year marker,Level of study,Mode of study,Country of HE provider,Academic Year,Number
England,All,All,All,All,2014/15,1497605
England,All,All,All,All,2015/16,1511935
England,All,All,All,All,2016/17,1540205
England,All,All,All,All,2017/18,1548250
England,All,All,All,All,2018/19,1556245
England,All,All,All,England,2014/15,1434765
England,All,All,All,England,2015/16,1447445
England,All,All,All,England,2016/17,1472905
England,All,All,All,England,2017/18,1478955
England,All,All,All,England,2018/19,1486085
England,All,All,All,Northern Ireland,2014/15,2540
England,All,All,All,Northern Ireland,2015/16,2595
England,All,All,All,Northern Ireland,2016/17,2785
England,All,All,All,Northern Ireland,2017/18,2810
England,All,All,All,Northern Ireland,2018/19,3025
England,All,All,All,Scotland,2014/15,23510
England,All,All,All,Scotland,2015/16,24535
England,All,All,All,Scotland,2016/17,25450
England,All,All,All,Scotland,2017/18,26720
England,All,All,All,Scotland,2018/19,26715
England,All,All,All,Wales,2014/15,36790
England,All,All,All,Wales,2015/16,37365
England,All,All,All,Wales,2016/17,39070
England,All,All,All,Wales,2017/18,39770
England,All,All,All,Wales,2018/19,40415
England,All,All,Full-time,All,2014/15,1077920
England,All,All,Full-time,All,2015/16,1112565
England,All,All,Full-time,All,2016/17,1158495
England,All,All,Full-time,All,2017/18,1181970
England,All,All,Full-time,All,2018/19,1191685
England,All,All,Full-time,England,2014/15,1026960
England,All,All,Full-time,England,2015/16,1059590
England,All,All,Full-time,England,2016/17,1102640
England,All,All,Full-time,England,2017/18,1124090
England,All,All,Full-time,England,2018/19,1133180
England,All,All,Full-time,Northern Ireland,2014/15,1525
England,All,All,Full-time,Northern Ireland,2015/16,1435
England,All,All,Full-time,Northern Ireland,2016/17,1525
England,All,All,Full-time,Northern Ireland,2017/18,1530
England,All,All,Full-time,Northern Ireland,2018/19,1560
England,All,All,Full-time,Scotland,2014/15,17445
England,All,All,Full-time,Scotland,2015/16,18700
England,All,All,Full-time,Scotland,2016/17,19705
England,All,All,Full-time,Scotland,2017/18,20815
England,All,All,Full-time,Scotland,2018/19,20865
England,All,All,Full-time,Wales,2014/15,31990
England,All,All,Full-time,Wales,2015/16,32840
England,All,All,Full-time,Wales,2016/17,34630
England,All,All,Full-time,Wales,2017/18,35535
England,All,All,Full-time,Wales,2018/19,36080
England,All,All,Part-time,All,2014/15,419690
England,All,All,Part-time,All,2015/16,399370
England,All,All,Part-time,All,2016/17,381710
England,All,All,Part-time,All,2017/18,366280
England,All,All,Part-time,All,2018/19,364560
England,All,All,Part-time,England,2014/15,407805
England,All,All,Part-time,England,2015/16,387855
England,All,All,Part-time,England,2016/17,370265
England,All,All,Part-time,England,2017/18,354865
England,All,All,Part-time,England,2018/19,352905
England,All,All,Part-time,Northern Ireland,2014/15,1015
England,All,All,Part-time,Northern Ireland,2015/16,1155
England,All,All,Part-time,Northern Ireland,2016/17,1260
England,All,All,Part-time,Northern Ireland,2017/18,1280
England,All,All,Part-time,Northern Ireland,2018/19,1465
