,Subject Area,Level of study,Country of HE provider,Female,Male,Other,Total,Female (%),Male (%),Other (%),Avg. % change of female per year (after 5 years),Avg. % change of male per year (after 5 years),Avg. % change of other per year (after 5 years)
0,(1) Medicine & dentistry,All,All,40175,27485,100,67755,59.294517009814776,40.56527193565051,0.14759058372075862,0.6815837979082389,-0.7147426221479805,0.03500370653625026
1,(1) Medicine & dentistry,All,England,31985,22555,85,54625,58.55377574370709,41.29061784897025,0.15560640732265446,0.6190607601414211,-0.655575271358126,0.036514511216703904
2,(1) Medicine & dentistry,All,Northern Ireland,1340,790,0,2130,62.91079812206573,37.08920187793427,0.0,0.6674585666610096,-0.6674585666610096,0.0
3,(1) Medicine & dentistry,All,Scotland,4770,3010,15,7795,61.19307248236049,38.6144964720975,0.19243104554201412,0.9013809610570505,-0.9332760116773109,0.04810776138550353
4,(1) Medicine & dentistry,All,Wales,2080,1125,0,3210,64.797507788162,35.046728971962615,0.0,1.426649674313225,-1.433122951814541,0.0
5,(1) Medicine & dentistry,All postgraduate,All,12330,7715,75,20120,61.28230616302187,38.344930417495036,0.3727634194831014,0.8807628609319824,-0.9678247626279575,0.0870619016959776
6,(1) Medicine & dentistry,All postgraduate,England,10135,6490,60,16685,60.74318249925083,38.89721306562781,0.3596044351213665,0.7886108022912879,-0.8708619722711379,0.08225116997985202
7,(1) Medicine & dentistry,All postgraduate,Northern Ireland,325,205,0,530,61.32075471698113,38.67924528301887,0.0,0.1240031122349734,-0.3817350709978591,0.0
8,(1) Medicine & dentistry,All postgraduate,Scotland,1235,720,10,1965,62.849872773536894,36.6412213740458,0.5089058524173028,0.5315896404126459,-0.6588161035169744,0.1272264631043257
9,(1) Medicine & dentistry,All postgraduate,Wales,635,305,0,935,67.9144385026738,32.62032085561498,0.0,3.1749286440733577,-3.0412388045011642,0.0
10,(1) Medicine & dentistry,All undergraduate,All,27845,19765,25,47640,58.448782535684295,41.488245172124266,0.05247691015952981,0.6033150287242748,-0.6190581017721346,0.013119227539882452
11,(1) Medicine & dentistry,All undergraduate,England,21845,16070,25,37940,57.577754348972064,42.35635213494992,0.06589351607801792,0.5464163804421833,-0.5628897594616866,0.01647337901950448
12,(1) Medicine & dentistry,All undergraduate,Northern Ireland,1020,585,0,1600,63.74999999999999,36.5625,0.0,0.9217767295597472,-0.843651729559749,0.0
13,(1) Medicine & dentistry,All undergraduate,Scotland,3535,2290,0,5825,60.68669527896996,39.31330472103004,0.0,1.0374746855433532,-1.015829663898332,0.0
14,(1) Medicine & dentistry,All undergraduate,Wales,1445,825,0,2270,63.65638766519823,36.34361233480176,0.0,0.3384761488052028,-0.3949095573830821,0.0
15,(1) Medicine & dentistry,First degree,All,27595,19720,25,47335,58.29724305482201,41.66050491179888,0.05281504172388297,0.6266215250930678,-0.6371845334378445,0.013203760430970742
16,(1) Medicine & dentistry,First degree,England,21615,16035,25,37670,57.379877886912666,42.5670294664189,0.06636580833554552,0.5777692470721707,-0.5910424087392787,0.01659145208388638
17,(1) Medicine & dentistry,First degree,Northern Ireland,1020,585,0,1600,63.74999999999999,36.5625,0.0,0.9217767295597472,-0.843651729559749,0.0
18,(1) Medicine & dentistry,First degree,Scotland,3515,2275,0,5795,60.65573770491803,39.25798101811907,0.0,0.996541226578243,-1.0181115458189698,0.0
19,(1) Medicine & dentistry,First degree,Wales,1445,825,0,2270,63.65638766519823,36.34361233480176,0.0,0.46787266000665184,-0.41066442202038367,0.0
20,(1) Medicine & dentistry,Other undergraduate,All,255,50,0,300,85.0,16.666666666666664,0.0,1.6071428571428577,-1.1904761904761907,0.0
21,(1) Medicine & dentistry,Other undergraduate,England,235,35,0,270,87.03703703703704,12.962962962962962,0.0,1.2773315484158871,-1.2773315484158863,0.0
22,(1) Medicine & dentistry,Other undergraduate,Northern Ireland,0,0,0,0,,,,,,
23,(1) Medicine & dentistry,Other undergraduate,Scotland,20,15,0,35,57.14285714285714,42.857142857142854,0.0,4.910714285714285,-4.9107142857142865,0.0
24,(1) Medicine & dentistry,Other undergraduate,Wales,0,0,0,0,,,,,,
25,(1) Medicine & dentistry,Postgraduate (research),All,5110,3460,45,8615,59.315147997678466,40.16250725478816,0.522344747533372,0.4552172053692747,-0.5858033922526165,0.130586186883343
26,(1) Medicine & dentistry,Postgraduate (research),England,4305,3010,40,7355,58.53161114887831,40.92454112848402,0.5438477226376615,0.5002838990749048,-0.6195010206251421,0.13596193065941536
27,(1) Medicine & dentistry,Postgraduate (research),Northern Ireland,140,90,0,230,60.86956521739131,39.130434782608695,0.0,-1.657608695652172,1.0326086956521738,0.0
28,(1) Medicine & dentistry,Postgraduate (research),Scotland,535,300,5,845,63.31360946745562,35.50295857988166,0.591715976331361,-0.14792899408284121,-0.14792899408284121,0.14792899408284024
29,(1) Medicine & dentistry,Postgraduate (research),Wales,130,60,0,190,68.42105263157895,31.57894736842105,0.0,3.5183066361556072,-2.974828375286042,0.0
30,(1) Medicine & dentistry,Postgraduate (taught),All,7215,4260,30,11505,62.71186440677966,37.027379400260756,0.2607561929595828,1.1884766122054256,-1.2429406497203104,0.054464037514884975
31,(1) Medicine & dentistry,Postgraduate (taught),England,5830,3480,20,9330,62.486602357985,37.29903536977492,0.21436227224008575,1.010164103009764,-1.049678094493208,0.03951399148344486
32,(1) Medicine & dentistry,Postgraduate (taught),Northern Ireland,180,120,0,300,60.0,40.0,0.0,0.9649122807017552,-0.9649122807017534,0.0
33,(1) Medicine & dentistry,Postgraduate (taught),Scotland,700,420,5,1125,62.22222222222222,37.333333333333336,0.4444444444444444,0.9913353720693188,-1.1024464831804277,0.1111111111111111
34,(1) Medicine & dentistry,Postgraduate (taught),Wales,505,245,0,750,67.33333333333333,32.666666666666664,0.0,3.1322657176749686,-3.043297746144722,0.0
35,(2) Subjects allied to medicine,All,All,229895,60325,230,290445,79.15267950902924,20.76985315636351,0.07918883093184596,-0.05148582740411456,0.033934897436770584,0.017981304048492915
36,(2) Subjects allied to medicine,All,England,183910,49890,200,234005,78.59233777056046,21.32005726373368,0.08546825922523023,-0.15100251675824694,0.13075533439271858,0.01971300574537202
37,(2) Subjects allied to medicine,All,Northern Ireland,7935,1585,0,9525,83.30708661417323,16.64041994750656,0.0,0.28125841919856853,-0.2943817787786207,0.0
38,(2) Subjects allied to medicine,All,Scotland,25520,5635,20,31175,81.86046511627907,18.075380914194067,0.06415396952686447,0.4244514983059773,-0.4360699058220634,0.011618407516086698
39,(2) Subjects allied to medicine,All,Wales,12530,3210,10,15750,79.55555555555556,20.38095238095238,0.06349206349206349,0.20634920634920562,-0.21230158730158788,0.015873015873015872
40,(2) Subjects allied to medicine,All postgraduate,All,57145,19785,115,77040,74.1757528556594,25.681464174454828,0.14927310488058151,-0.015397355483010244,-0.01830190080411853,0.035321790035829775
41,(2) Subjects allied to medicine,All postgraduate,England,45325,16045,105,61475,73.72915819438796,26.10004066693778,0.17080113867425784,-0.23736665469149898,0.1996489310593086,0.040209004150378105
42,(2) Subjects allied to medicine,All postgraduate,Northern Ireland,2025,425,0,2450,82.6530612244898,17.346938775510203,0.0,-0.0006913334439424546,0.0006913334439468954,0.0
43,(2) Subjects allied to medicine,All postgraduate,Scotland,6785,2250,5,9040,75.05530973451327,24.88938053097345,0.05530973451327434,1.237372407173293,-1.2511998408016112,0.013827433628318585
44,(2) Subjects allied to medicine,All postgraduate,Wales,3010,1060,5,4075,73.86503067484662,26.012269938650306,0.1226993865030675,0.4497287430918213,-0.5217259037671758,0.030674846625766874
45,(2) Subjects allied to medicine,All undergraduate,All,172750,40540,115,213405,80.94936857149551,18.99674328155385,0.05388814695063377,0.020288061505038257,-0.032584927255319585,0.011709280256590446
